bin,u_med,q001,q01,q10,q50,q90,q99,q999,ks_core,w1_core
0,0.9510353308923292,-11.77424830641344,-5.169927517699551,-1.5891272264091154,-0.05360863571908564,1.1409356863277746,3.2283413167060244,6.256911028647653,0.071245,0.16291791015802834
1,0.7243342264620469,-8.163848865002914,-4.475142341878273,-1.5270648245653138,-0.03022904182106049,1.2109330906066593,3.585728905357684,7.486907075012477,0.06389999999999996,0.15258056331904768
2,0.44151376821113736,-6.47475329635568,-3.975017393211488,-1.4866730603894345,-0.014099834949536157,1.480555733634977,4.644399948020694,10.180800128397008,0.036189999999999944,0.08012386784147199
3,0.2062800424232265,-5.666740579484789,-3.741655900093759,-1.4615286174560351,-0.004760757917275208,1.734846784809033,5.9620695853609975,14.744424523576365,0.022940000000000016,0.018084338978880274
4,0.06935467904625314,-5.443729197818147,-3.772569674609637,-1.5557706845139234,-0.0024221845330671845,1.8402044481296917,7.338505244972334,21.273787738646885,0.03328500000000001,0.08427559622195215
5,0.016180129990940095,-5.387965290090194,-3.759199630310213,-1.7572966970601327,-0.004615430933609424,2.1971817665352407,8.695882446905108,28.644177542928723,0.05101,0.17191426765982637
6,0.0028068691707391347,-5.398099110941421,-3.822864192551634,-1.8876449785807998,-0.013091683357035519,2.4449130100512826,8.943284178321825,30.279612812665857,0.060205000000000064,0.23105716351477226
7,0.00041813049909067423,-5.391429216517517,-3.839259941448667,-1.919422324976177,-0.02510105045676805,2.527163917534485,9.032984599121487,32.61150775793692,0.064365,0.2697114452844617
8,5.5071658235816834e-05,-5.301386377586124,-3.766677899405231,-1.922371995575482,-0.030099989116629665,2.5983120196537057,9.338984777202251,35.188457837714424,0.07713500000000006,0.30210224994157325
9,3.5762659251759032e-06,-6.4112332036720465,-4.274169975597642,-2.039938597075548,0.0,3.2056141179254865,16.028063711130137,764278.4642450203,0.10052500000000009,0.3044742296001578
