bin,n,u_med,mad,std,iqr
0,409771,0.9922831010766618,0.15651289529800413,0.24753501749115547,0.15123152043573762
1,409770,0.9510353308923292,0.14684523410797118,0.22027206672715743,0.14181045181579816
2,409771,0.8886611559281392,0.13443439614772795,0.19637126504560012,0.1304594121923086
3,409770,0.8117247497497659,0.12337605868577957,0.1757278674577158,0.12002499833471074
4,409771,0.7243342264620469,0.1126130532503128,0.15789783239002086,0.10890930648023239
5,409770,0.6298814169380629,0.09807245780825614,0.1364213495912602,0.09604504233912418
6,409771,0.534748347994884,0.0858093300461769,0.11998776405875189,0.08390864855806593
7,409769,0.4415138014995108,0.07163286255598068,0.10172252920876486,0.07094229655057258
8,409772,0.3540804725683843,0.05865654594898224,0.08631365123195744,0.05847001358524263
9,409770,0.2747574709138388,0.046669375124573705,0.07067393414908384,0.04672412632835451
10,409771,0.2062800424232265,0.03557001196146011,0.056878135240242725,0.03561261541495242
11,409770,0.14938019537779612,0.02613701689839363,0.043314137874692155,0.02623069686214512
12,409771,0.10444444052433721,0.018720886838436125,0.034303053195068385,0.018737042078360352
13,409769,0.06935467904625314,0.012904140534996986,0.024938673844788796,0.012856352386693764
14,409769,0.04448549742112584,0.008418354579806327,0.017779700198972823,0.00851788869427256
15,409773,0.027335592947899223,0.005336602551117539,0.01164047803982279,0.0053775587220647935
16,409769,0.01618001454297291,0.003267771936021745,0.008270494193205732,0.0032829058620998646
17,409768,0.009252331549526094,0.0019110227812081575,0.0056948055093818065,0.0019093840455483117
18,409769,0.005170650546072575,0.001088084800634533,0.0042337959219158365,0.0010918694002218297
19,409756,0.0028068691707391347,0.0006102737015811726,0.0037441884079523744,0.0006113815127566092
20,409785,0.0015048949722917815,0.0003317325499956496,0.0018531609876291262,0.00033284529900002956
21,409689,0.0007977077616594386,0.00017759862343082202,0.0017735138084201615,0.0001784548935949184
22,409750,0.00041813049909067423,9.434104605170432e-05,0.000578403655514937,9.486418887261741e-05
23,409551,0.0002175096333649762,4.96546412614407e-05,0.0004417048896777346,4.991717915153552e-05
24,409497,0.00011132907978250728,2.5448520090139935e-05,0.00019318672466265896,2.5624159012083723e-05
25,409867,5.495246277975596e-05,1.2724750868801493e-05,0.00042544482862828017,1.2901025256238674e-05
26,408725,2.5748543987402783e-05,6.009049768545082e-06,0.00027996053623759236,6.0973064166205825e-06
27,407825,1.0847927392809709e-05,2.651058983065013e-06,0.00015892201017026045,2.651026709249631e-06
28,402567,3.5762659251759032e-06,8.836957666062517e-07,0.0001590991486969613,9.720499361366424e-07
29,420469,4.7683693082944956e-07,1.7673952413588267e-07,1.3693669494664151e-06,1.7673714497502293e-07
