bin,n,u_med,mad,std,iqr
0,25546,0.9618274576890092,0.5111331353902816,0.746398683156479,0.4653281817354919
1,25546,0.35514754563196615,0.16054995850436388,0.32392633880922705,0.16054484283508771
2,25546,0.04887782092078169,0.022316167090460658,0.11065539928424342,0.023308061470613824
3,25545,0.00724018319447195,0.0031698842084733766,0.024289179434556732,0.003267689197261392
4,25546,0.0012520948047854974,0.0004927976411883719,0.013123889239593413,0.0005195647527465806
5,25540,0.0002732722150698974,9.860222666611661e-05,0.005687865583939277,0.00010150059574546694
6,25538,7.616893191542129e-05,2.438866984375636e-05,0.005993400800907649,2.491788884511444e-05
7,25407,2.5748543987402783e-05,7.422921463876263e-06,0.00019547376225312522,7.599459957949999e-06
8,25569,1.0132687344066582e-05,2.8278081146709156e-06,0.0024824205090263588,2.827771396828046e-06
9,25171,4.172307789929164e-06,1.237171780940116e-06,0.0008165595170084977,1.1487886401972827e-06
10,23971,1.7881361529248352e-06,5.302182353034367e-07,2.688757769757352e-05,5.302109714131285e-07
11,25325,7.152552541356272e-07,1.7673960841193546e-07,1.044218022247492e-06,1.7673718711247205e-07
12,19239,2.3841852225814364e-07,1.7673965054996188e-07,1.7075561805548767e-06,1.767372081811966e-07
13,20853,1.1920927533992653e-07,0.0,0.0013235719001274979,0.0
19,166573,0.0,0.0,6.1850739255324505e-06,0.0
