bin,n,phi,sigma,T_med,mu,v,Delta_direct,Delta_cum,ess,cum_err,ok
1,954720,0.005,0.00078,704.0,-2.747906780311882,7.050350183154673,-3.9158371999465063,-7.827618494420126,17321.030853760407,3.91178129447362,False
2,36175,0.007452910795115009,0.0011626540840379413,753.0,-2.8981611075085403,7.301949999961445,-4.097999294750531,-8.054763892433627,560.9782746364418,3.9567645976830956,False
3,37783,0.009722619859690917,0.0015167286981117832,743.0,-2.8723532868459105,7.226873685315624,-4.235840506231259,-7.967957241127525,541.8177222464583,3.732116734896266,False
4,39069,0.012635769109636596,0.0019711799811033093,744.0,-2.895894586622954,7.249661452621792,-4.28027497927602,-7.978597592309733,552.6196906720008,3.6983226130337137,False
5,39586,0.01648014997721481,0.00257090339644551,744.0,-2.903627881895364,7.345578331598079,-4.066131365214694,-8.114739615501755,633.8059234513591,4.04860825028706,False
6,40738,0.021510055003805484,0.0033555685805936554,747.0,-2.89996867547514,7.2900772631126864,-4.1359332870731755,-8.03514721919389,621.6665170303854,3.8992139321207144,False
7,41952,0.02803821910140669,0.004373962179819444,741.0,-2.9189556649519344,7.283631834417598,-4.0977496684672765,-8.006492086674463,636.5835377686328,3.9087424182071864,False
8,43418,0.036509707289182236,0.005695514337112429,744.0,-2.9130756561542865,7.344079107054394,-4.461117803378593,-8.103043004427303,523.6599734153883,3.6419252010487098,False
9,48200,0.04762089618741605,0.007428859805236904,740.0,-2.9151574714694615,7.36476406833741,-4.307885320801418,-8.131988631036654,645.7141025561081,3.8241033102352358,False
10,49332,0.061942740502009375,0.009663067518313462,744.0,-2.912660052892818,7.385781865148085,-4.272534641400451,-8.16601274482931,678.4960214526035,3.8934781034288584,False
11,51597,0.08087625604724313,0.012616695943369928,747.0,-2.901175198510398,7.302464578114178,-4.286982751979647,-8.05252166866087,712.3535310038535,3.7655389166812228,False
12,56525,0.10615418583105407,0.016560052989644435,740.0,-2.9272437867940972,7.322772692229061,-4.191057949919177,-8.056915251549494,808.1775946313995,3.8658573016303173,False
13,60672,0.13726219552923186,0.02141290250256017,747.0,-2.9306396824237577,7.421169228328541,-4.234480429682213,-8.201114160069054,871.1578975465421,3.9666337303868406,False
14,66443,0.18039124231356396,0.02814103380091598,740.0,-2.932242314552836,7.317143132848128,-4.125450322216855,-8.043472384719356,1004.6197541536279,3.9180220625025015,False
15,72210,0.23304726753004384,0.036355373734686836,747.0,-2.9394985086427385,7.2845579270087235,-4.3146613701044565,-7.987338381870346,976.0385658595881,3.67267701176589,False
16,83577,0.30322922740922986,0.04730375947583986,751.0,-2.956014347805048,7.238749211252665,-4.41465439052628,-7.902109469073949,1002.9541623754246,3.4874550785476686,False
17,98840,0.3976290174965755,0.06203012672946577,754.0,-2.96554131894318,7.304201458799226,-4.328893576439583,-7.990760869255659,1240.6956886969613,3.6618672928160763,False
18,116064,0.5193917079453172,0.08102510643946949,761.0,-2.9832806680658295,7.394142307608076,-4.3871173592988715,-8.107932793346285,1437.8370818834342,3.720815434047413,False
19,156012,0.6797565662570191,0.10604202433609497,768.0,-3.0014335069830893,7.3502230932830415,-4.426326541409962,-8.023901132941473,1837.0604771800677,3.5975745915315116,False
20,324100,0.9216258364851428,0.1437736304916823,793.0,-3.0672938130500476,7.418141863060393,-4.492912439566789,-8.059918981540543,3530.22444624184,3.567006541973754,False
