bin,n,phi,sigma,T_med,mu,v,Delta_direct,Delta_cum,ess,cum_err,ok
1,981180,0.005,0.00078,721.0,-2.7497551681945254,6.7650890337614085,-3.268632950208854,-7.397878382447587,30851.05529830176,4.129245432238733,False
2,37213,0.007444455441423359,0.001161335048862044,767.0,-2.903794457362897,6.953331743199423,-3.295637113722313,-7.526203157436237,1110.5337952329646,4.2305660437139245,False
3,39024,0.009724607344545277,0.0015170387457490633,766.0,-2.8782736398696067,6.912924535986685,-3.3781226222067136,-7.491113164110422,1133.0488613667446,4.112990541903708,False
4,39897,0.01264529840794637,0.001972666551639634,766.0,-2.888049384923308,6.939452297168538,-3.437389424501445,-7.5211290608295,1080.1894055886764,4.083739636328055,False
5,40447,0.01648972002950233,0.0025723963246023634,764.0,-2.9046594541011466,6.902518221461032,-3.353389111800192,-7.4491178780904015,1189.8139315933306,4.095728766290209,False
6,41890,0.021483974454164168,0.00335150001484961,763.0,-2.9078614193464722,6.968494865676715,-3.336563343887969,-7.5448808791686,1266.7506039030673,4.2083175352806315,False
7,42571,0.028000997966099894,0.004368155682711584,760.0,-2.9140837625598985,6.880427978477096,-3.085055861726306,-7.406558205155746,1534.8006889252629,4.32150234342944,False
8,44063,0.03657776124345835,0.005706130753979502,753.0,-2.9044158084895613,6.9084316723795745,-3.3199627474318505,-7.4582317000798,1299.1361840123677,4.13826895264795,False
9,48688,0.04761851732511463,0.007428488702717883,750.0,-2.9191245573251114,6.866562654145214,-3.451225596782222,-7.380719423892709,1274.1211753055054,3.9294938271104876,False
10,50253,0.061994136723705684,0.009671085328898087,754.0,-2.9009456423215108,6.941497058857403,-3.3352189833277075,-7.511299945964594,1452.9698789317954,4.176080962636886,False
11,52421,0.08083718049706878,0.01261060015754273,754.0,-2.9124883695922614,6.912617219870357,-3.324680438382898,-7.456437460213274,1528.538520961687,4.131757021830376,False
12,57571,0.10613122965281918,0.016556471825839792,756.0,-2.9055951852816437,6.85089892243704,-3.088948290756042,-7.370753198373915,2074.901805673235,4.2818049076178735,False
13,62020,0.13721108580194374,0.021404929385103223,755.5,-2.9209916625910908,6.807864518825723,-3.350937347744139,-7.290805115647494,1756.4279308804644,3.939867767903355,False
14,67213,0.18056897282123152,0.028168759760112117,760.0,-2.908543278398372,6.8267766732611594,-3.381624899518756,-7.331621731493368,1870.7802106690863,3.9499968319746124,False
15,73086,0.23282113302587376,0.036320096752036304,761.0,-2.919684539421311,6.882826600529322,-3.2773955970544653,-7.4045553613726725,2208.452377214247,4.127159764318208,False
16,84733,0.3032402329775252,0.04730547634449393,761.0,-2.934875029178611,6.904992796629836,-3.060446279367716,-7.422614165766143,3133.0786378908874,4.362167886398428,False
17,99852,0.39766651817054816,0.062035976834605516,765.0,-2.9493194315367948,6.959915454837786,-3.303756946015124,-7.490553750719885,2989.9055731147373,4.186796804704761,False
18,117544,0.5192992998213881,0.08101069077213655,772.0,-2.9711867708008826,6.887234826930234,-3.316844701633554,-7.35966546959447,3440.234405076407,4.042820767960915,False
19,157353,0.6799016975723776,0.10606466482129091,776.0,-2.970230208441881,6.937102029687141,-3.308906202148416,-7.435422836088831,4691.5867531195345,4.126516633940415,False
20,326746,0.9213794319452916,0.1437351913834655,796.0,-3.0407513720830295,6.983442158907585,-3.4772086419312203,-7.434411866278348,8173.189287924012,3.9572032243471273,False
