bin,n,phi,sigma,T_med,mu,v,Delta_direct,Delta_cum,ess,cum_err,ok
1,4874352,0.005,0.00078,719.0,-2.7568418153306085,6.985405400877783,-3.2873625257102694,-7.721266285986067,149558.29076450848,4.433903760275797,False
2,182613,0.007441401716391738,0.0011608586677571112,762.0,-2.902586062589479,7.225515305670801,-3.165350568280039,-7.9356868959167235,6125.927465362021,4.770336327636684,False
3,192538,0.009722269397910765,0.0015166740260740795,756.0,-2.892383895821099,7.163857412428036,-3.1310681449403637,-7.853402222820955,6594.402419565849,4.722334077880591,False
4,197238,0.012641463894836669,0.0019720683675945204,758.0,-2.903103187929185,7.185497012749619,-3.2687286893292153,-7.875142331195244,5969.606046157439,4.606413641866029,False
5,200880,0.01648833692088736,0.002572180559658428,760.0,-2.912584739924622,7.216407657385454,-3.203627663056807,-7.912026746153559,6527.775007934897,4.708399083096753,False
6,205725,0.021492249150895093,0.0033527908675396343,758.0,-2.9188080517037758,7.195941949037528,-3.3104418794655075,-7.875104871852516,6018.690191486603,4.564662992387008,False
7,212427,0.028032418498764478,0.004373057285807259,758.0,-2.920651711405373,7.256188215132735,-3.234470364189015,-7.963630611293729,6662.806790913471,4.729160247104714,False
8,220739,0.03654047052585396,0.005700313402033219,757.0,-2.92312234531113,7.2142532437838245,-3.2647415904857997,-7.8982575203646075,6672.662765603741,4.633515929878808,False
9,242772,0.04761895016851103,0.0074285562262877206,753.0,-2.913662625420933,7.221856168502229,-3.277516652313072,-7.9191216273324105,7380.412394445417,4.641604975019339,False
10,250325,0.061970116294519095,0.00966733814194498,755.0,-2.9195188947077284,7.215852001935957,-3.2145409832816743,-7.904259108196207,8001.006814550708,4.689718124914533,False
11,261901,0.08084795965281999,0.012612281705839919,754.0,-2.9288278233077882,7.217250980802404,-3.208518522358233,-7.897048647895817,8400.289479538182,4.688530125537584,False
12,286461,0.1061260882405366,0.01655566976552371,752.0,-2.918229978865073,7.205829164383814,-3.2238122927143684,-7.890513767710647,9065.782911078586,4.6667014749962785,False
13,309437,0.1372332245085749,0.021408383023337682,755.0,-2.930519266993995,7.248548841490093,-3.26097885170651,-7.942303995241145,9523.540110234524,4.681325143534636,False
14,336751,0.18040845042211462,0.028143718265849882,754.0,-2.9338453253664882,7.25022133974994,-3.200085335995337,-7.941486684258421,10927.162959622448,4.741401348263084,False
15,367600,0.23299131162014308,0.036346644612742326,758.0,-2.942250125773635,7.276849724358145,-3.2639122374551834,-7.973024460763584,11301.919103692944,4.7091122233084,False
16,422123,0.3032795193619271,0.047311605020460626,758.0,-2.9515698107591275,7.274639726364716,-3.2010684472363993,-7.960389778787946,13766.161102445958,4.759321331551547,False
17,501903,0.3975354441229062,0.062015529283173366,760.0,-2.950274666574131,7.285927450156597,-3.28081158700957,-7.978616508660764,15232.344558674924,4.697804921651194,False
18,590534,0.5192244979704987,0.08099902168339779,768.0,-2.976984219443404,7.336455182044726,-3.242157593770242,-8.027698553623685,18422.254266268996,4.785540959853442,False
19,790829,0.679783536460729,0.10604623168787372,775.0,-2.988877961969654,7.354011208087989,-3.2909765618455276,-8.04213885016233,23750.192473236028,4.751162288316802,False
20,1645967,0.9214579045502443,0.14374743310983812,800.0,-3.043523001075896,7.465911289013981,-3.268987091977374,-8.155343932445076,50820.77688643934,4.886356840467702,False
