b,kappa,n,n_out,phi,bulk_mad,out_med,out_q90,eps_hat,pos_frac,q95_pos,q99_pos
0,4,426424,0,0.005,0.0,,,0.0,,,
1,4,794455,0,0.005,0.0,,,0.0,,,
2,4,625944,0,0.005,1.7673935558377706e-07,,,0.0,,,
3,4,627116,0,0.005,5.302150328134302e-07,,,0.0,,,
4,4,622868,0,0.005,1.590624872187618e-06,,,0.0,,,
5,4,619782,0,0.005,4.771453910507262e-06,,,0.0,,,
6,4,619298,0,0.005,1.3783797458745538e-05,,,0.0,,,
7,4,619651,8,0.005,3.9549303380772466e-05,0.0007694265223108232,0.0008527864119969308,1.2910493164700775e-05,1.0,0.0009210864373017101,0.0009757264575455337
8,4,619560,3938,0.005,0.00010807770285755395,0.0008101018611341715,0.0010271106846630573,0.006356123700690813,0.7260030472320975,0.0010639201034791765,0.001515547891613098
9,4,619451,22748,0.006371294682594564,0.00027544950144365427,0.0013204580172896385,0.0021548975724726914,0.03672284006321727,0.5605327940917882,0.0024344627279788253,0.0028073915094137167
10,4,619463,21882,0.01634152399502442,0.0006501190094277263,0.0033381395041942596,0.0051759822294116025,0.03532414365345469,0.563933826889681,0.005806898325681686,0.006737607307732099
11,4,619457,19512,0.03774931445530094,0.0013764652960002422,0.007574044167995453,0.011887593939900399,0.03149855437907716,0.5697006970069701,0.013375747948884964,0.015108038783073425
12,4,619454,18039,0.07711073086309311,0.0026649307943880556,0.015412978827953339,0.02337932586669922,0.02912080638756066,0.5726481512278951,0.02580356672406195,0.0298530849814415
13,4,619457,16432,0.14180825591506796,0.004571924462914467,0.02821601927280426,0.04121041893959045,0.026526457849374532,0.5629868549172347,0.04567213132977486,0.05063576251268387
14,4,619456,15146,0.23447633525179434,0.007607461823523044,0.04570316523313522,0.06349828839302063,0.024450485587354066,0.5466129671200317,0.06864796578884125,0.07692033797502516
15,4,619456,14478,0.35612943827341553,0.011129033339023589,0.06970639526844025,0.094902241230011,0.02337212005372456,0.5285260395082194,0.10188248753547668,0.1109507566690444
16,4,619455,13800,0.5040591110534425,0.01576067372560501,0.09883224964141846,0.132787823677063,0.02227764728672785,0.5168115942028986,0.14012978971004486,0.1483866047859192
17,4,619456,13570,0.6677655966592375,0.021157773721218107,0.1286601424217224,0.17097163200378418,0.021906317801425768,0.4911569638909359,0.1763618290424347,0.18866709589958192
18,4,619456,13772,0.829078888216783,0.027092427492141722,0.1567215919494629,0.2087702751159668,0.022232410372972414,0.4546906767354052,0.20928764343261705,0.22506802320480332
19,4,619456,14309,0.9629820866960989,0.03955823149681091,0.1789684295654297,0.2399831295013428,0.02309930003099494,0.43357327556083586,0.23806447982788087,0.2491586112976074
0,5,426424,0,0.005,0.0,,,0.0,,,
1,5,794455,0,0.005,0.0,,,0.0,,,
2,5,625944,0,0.005,1.7673935558377706e-07,,,0.0,,,
3,5,627116,0,0.005,5.302150328134302e-07,,,0.0,,,
4,5,622868,0,0.005,1.590624872187618e-06,,,0.0,,,
5,5,619782,0,0.005,4.771453910507262e-06,,,0.0,,,
6,5,619298,0,0.005,1.3783797458745538e-05,,,0.0,,,
7,5,619651,1,0.005,3.9549303380772466e-05,0.0009893864626064897,0.0009893864626064897,1.6138116455875968e-06,1.0,0.0009893864626064897,0.0009893864626064897
8,5,619560,1454,0.005,0.00010807770285755395,0.000993441790342331,0.001157891401089728,0.0023468267802956937,0.9325997248968363,0.0013859465136192718,0.0016762697277590633
9,5,619451,15813,0.006371294682594564,0.00027544950144365427,0.0014949599280953407,0.0023169783875346185,0.025527442848586893,0.5604882059065326,0.0025093365460634232,0.002897661440074438
10,5,619463,14997,0.01634152399502442,0.0006501190094277263,0.003794535994529724,0.0057558324187994,0.024209678382728268,0.5513769420550777,0.006314347125589847,0.007211336269974708
11,5,619457,13259,0.03774931445530094,0.0013764652960002422,0.008568823337554932,0.01243138387799263,0.02140422983354777,0.560374085526812,0.01348517909646034,0.0152725537866354
12,5,619454,11960,0.07711073086309311,0.0026649307943880556,0.0176108218729496,0.02444317117333412,0.019307325483409583,0.5574414715719064,0.026740455254912376,0.030483702085912227
13,5,619457,10796,0.14180825591506796,0.004571924462914467,0.032862067222595215,0.04423922300338745,0.017428166926840766,0.5476102260096332,0.04682697355747223,0.058163196593522884
14,5,619456,9474,0.23447633525179434,0.007607461823523044,0.05266381800174713,0.0677900105714798,0.015294064469469987,0.534621068186616,0.07360950112342834,0.08432642877101948
15,5,619456,9101,0.35612943827341553,0.011129033339023589,0.08027473092079163,0.10186251997947693,0.014691923235871474,0.51510822986485,0.10647046566009521,0.1258498728275299
16,5,619455,8454,0.5040591110534425,0.01576067372560501,0.11320644617080688,0.1397335171699524,0.013647480446521539,0.5065057960728649,0.14571757316589343,0.1561408466100691
17,5,619456,8117,0.6677655966592375,0.021157773721218107,0.1489936113357544,0.1764084577560425,0.01310343268932741,0.47973389183195764,0.18243913650512694,0.19305608272552496
18,5,619456,8018,0.829078888216783,0.027092427492141722,0.18610483407974243,0.21540288925170897,0.01294361504287633,0.4468695435270641,0.21665642857551576,0.2311869156360625
19,5,619456,8149,0.9629820866960989,0.03955823149681091,0.21684050559997559,0.24526700973510743,0.013155090918483315,0.4227512578230458,0.24406685829162597,0.26278627395629867
0,6,426424,0,0.005,0.0,,,0.0,,,
1,6,794455,0,0.005,0.0,,,0.0,,,
2,6,625944,0,0.005,1.7673935558377706e-07,,,0.0,,,
3,6,627116,0,0.005,5.302150328134302e-07,,,0.0,,,
4,6,622868,0,0.005,1.590624872187618e-06,,,0.0,,,
5,6,619782,0,0.005,4.771453910507262e-06,,,0.0,,,
6,6,619298,0,0.005,1.3783797458745538e-05,,,0.0,,,
7,6,619651,0,0.005,3.9549303380772466e-05,,,0.0,,,
8,6,619560,237,0.005,0.00010807770285755395,0.0012577238958328962,0.0016372223384678365,0.00038252953709083865,0.8438818565400844,0.0017011526040732851,0.0026217436511069485
9,6,619451,10634,0.006371294682594564,0.00027544950144365427,0.0016815436538308859,0.002448741998523474,0.01716681383999703,0.6514011660710928,0.002753658266738057,0.003335550595074902
10,6,619463,10791,0.01634152399502442,0.0006501190094277263,0.004002195782959461,0.005887467414140701,0.017419926613857488,0.6069873042350107,0.006507117301225662,0.008151810988783837
