b,kappa,n,n_out,phi,bulk_mad,out_med,out_q90,eps_hat,pos_frac,q95_pos,q99_pos
0,4,488241,200,0.005,3.004571731223393e-06,0.07003387063741684,0.48176827132701844,0.0004096337669306756,1.0,0.9875747978687259,2.016145658493041
1,4,492012,618,0.005,2.297576900855347e-05,0.06196873262524605,0.3875878363847733,0.0012560669251969463,1.0,0.6931540131568908,1.8443108654022378
2,4,490066,1426,0.005,7.616416314594971e-05,0.061033740639686584,0.34860171377658844,0.0029098121477515275,1.0,0.6930940449237823,1.5027242004871368
3,4,490315,3088,0.005,0.0002060413732426241,0.05717290751636028,0.3131418913602829,0.006297992107114814,1.0,0.5757112681865691,1.5017075634002686
4,4,490143,6708,0.005,0.0005098284264095128,0.05385047756135464,0.2815816909074783,0.013685801898629583,1.0,0.5224852502346039,1.3157753467559818
5,4,490200,13233,0.005,0.001191623279324267,0.05348080396652222,0.2802558779716492,0.026995104039167685,1.0,0.49667472243308997,1.3145386743545537
6,4,490179,23445,0.005,0.0026656508705578744,0.05768188089132309,0.2841515839099893,0.04782946637860863,1.0,0.4713014721870422,1.171457004547126
7,4,490159,24464,0.00997693386845222,0.005735432237014174,0.10598408058285713,0.4375507354736329,0.04991033521775587,1.0,0.6852431744337082,1.515996023416517
8,4,490169,22280,0.020731940822104833,0.011874014616943896,0.2000497803092003,0.6713631629943848,0.04545371086298807,1.0,0.9596068680286406,1.884542951583862
9,4,490166,18789,0.04073043898629802,0.023629348530247805,0.3558483421802521,0.9438016533851624,0.03833191204612315,1.0,1.288843464851379,2.317937536239624
10,4,490164,14934,0.07623697181909694,0.04530052620470523,0.5934322774410248,1.2859797954559333,0.0304673537836316,1.0,1.6536785185337057,2.703512229919435
11,4,490167,10018,0.13228418287662203,0.08214271047413349,0.9389850795269012,1.780871486663819,0.02043793237814867,1.0,2.211362826824187,3.208483004570007
12,4,490164,5981,0.2168889905427388,0.14094157606065272,1.3982434272766113,2.3126819133758545,0.012202038501399531,1.0,2.6966090202331543,3.6889664173126175
13,4,490166,2893,0.3279257553800204,0.22600312046706675,1.992950677871704,2.9630199432373048,0.005902082151760832,1.0,3.3862353801727294,4.385408267974851
14,4,490164,1191,0.4640680388068512,0.3421345970571041,2.684290885925293,3.6802704334259033,0.0024297990060469558,1.0,4.128414869308472,5.195635366439803
15,4,490165,488,0.6116106481083436,0.48854120743274687,3.3969290256500244,4.513364458084107,0.000995583119969806,1.0,4.894287514686584,5.936760301589965
16,4,490165,180,0.7490338250149582,0.6605115795135498,4.0255420207977295,4.732284832000732,0.000367223281956076,1.0,5.124777793884277,6.024266409873964
17,4,490165,84,0.8645107021134035,0.8889633621454238,4.669046401977539,5.379641389846801,0.00017137086491283548,1.0,5.806534028053283,6.412394995689392
18,4,490165,43,0.9468424541018898,1.1853634265899657,5.0555195808410645,5.855363464355469,8.772556180061816e-05,1.0,6.363852405548095,6.650902109146117
19,4,490166,41578,0.9931662164521808,1.8833632623195646,6.0781683921813965,9.212259006500245,0.08482432482057099,0.0010823031410842272,-4.945720934867859,-4.878731865882873
0,5,488241,172,0.005,3.004571731223393e-06,0.08523833751678467,0.5379360258579254,0.00035228503956038105,1.0,1.136955851316452,2.0474801540374745
1,5,492012,517,0.005,2.297576900855347e-05,0.0788702517747879,0.47410728931427004,0.0010507873791696138,1.0,0.6972957611083984,2.010991754531857
2,5,490066,1179,0.005,7.616416314594971e-05,0.07334110140800476,0.42048643827438403,0.002405798402664131,1.0,0.7585002779960632,1.5502450513839774
3,5,490315,2524,0.005,0.0002060413732426241,0.07065749540925026,0.3867645710706711,0.0051477111652713054,1.0,0.6639340549707409,1.5431905484199517
4,5,490143,5488,0.005,0.0005098284264095128,0.06540126353502274,0.34776639044284824,0.011196732382182342,1.0,0.5794123172760007,1.5010228145122528
