b,kappa,n,n_out,phi,bulk_mad,out_med,out_q90,eps_hat,pos_frac,q95_pos,q99_pos
0,4,613592,1,0.005,1.7673966108446848e-07,0.006838116329163313,0.006838116329163313,1.6297474543344764e-06,1.0,0.006838116329163313,0.006838116329163313
1,4,613665,9,0.005,1.944125832233112e-06,0.014314505271613598,0.09250968098640443,1.4665982254161472e-05,1.0,0.09648135006427765,0.09965868532657624
2,4,616256,21,0.005,7.246179074354586e-06,0.0068098558112978935,0.026592815294861794,3.407674732578669e-05,1.0,0.038293540477752686,0.14494829177856455
3,4,615006,44,0.005,2.1560241457336815e-05,0.005195500561967492,0.02343316972255707,7.154401745674025e-05,1.0,0.09051333274692307,0.191416305154562
4,4,614641,176,0.005,5.8480989583767946e-05,0.004993773298338056,0.018071919679641724,0.0002863460133638986,1.0,0.02661150088533759,0.06322061270475388
5,4,614714,800,0.005,0.00015330847970908507,0.0046792770735919476,0.013325043208897115,0.0013014182205057963,1.0,0.019888704549521203,0.061340510509908124
6,4,614683,4630,0.005,0.00038763640215620397,0.004514286760240793,0.010595462005585437,0.007532337806641798,1.0,0.016285166330635557,0.053485967963933984
7,4,614676,24364,0.005,0.0009567012767773121,0.004676622338593006,0.010703250020742417,0.03963714216920784,0.8845838121819077,0.015193981071934093,0.03893671825528144
8,4,614660,32846,0.010717919892672068,0.0022239141723141074,0.009459709748625755,0.021555352956056595,0.0534376728597924,0.8412287645375388,0.030596076976507902,0.0748004477471113
9,4,614664,30550,0.024038976773665732,0.004809154696203768,0.021193280816078186,0.04677637740969658,0.04970195098460297,0.8434697217675942,0.06713427193462845,0.14872625380754348
10,4,614656,28123,0.04988339656594187,0.009455402342230081,0.04282420501112938,0.09381501376628874,0.04575404779258642,0.827472175799168,0.13108435273170468,0.264155902266501
11,4,614656,24073,0.0952081483968012,0.016984701036661862,0.0795823261141777,0.16460107564926146,0.039164996355685135,0.8106177044821999,0.22431900799274443,0.410177561044693
12,4,614656,19105,0.16374851562842424,0.02838502428084612,0.1386806219816208,0.26849137544631957,0.031082426593086215,0.7653493849777545,0.350244605541229,0.6005264520645142
13,4,614655,16680,0.256934589071694,0.04302953161597252,0.21091629564762115,0.36908455491065983,0.02713717451253142,0.6894484412470024,0.4722020536661145,0.8035667204856846
14,4,614656,15348,0.3775499083224906,0.06138207084238529,0.30344152450561523,0.4968527585268024,0.02497006455643482,0.6144123012770394,0.5987315654754638,0.9272311055660258
15,4,614656,13436,0.5107808450474698,0.08110796585083008,0.4040708988904953,0.6203203201293945,0.02185938150770512,0.5306638880619232,0.7204141914844513,1.1080097973346703
16,4,614655,13851,0.6539779689555867,0.10149577310085296,0.5081420540809631,0.7716951370239258,0.022534592576323304,0.4144827088296874,0.7736584544181824,1.183262050151825
17,4,614656,13650,0.7904083271575256,0.12045702592134475,0.6258381009101868,0.9787711322307586,0.022207543731778426,0.324981684981685,0.8418790221214287,1.2096877300739295
18,4,614656,13814,0.9056980808868434,0.13727159843444822,0.735937237739563,1.2566940665245059,0.02247435964181591,0.2623425510351817,0.8771598815917965,1.290212264060974
19,4,614656,14494,0.9845028366852524,0.15423030216693878,0.809882402420044,1.4770824909210205,0.023580669512703042,0.21063888505588518,0.8716712474822993,1.2431181812286376
0,5,613592,1,0.005,1.7673966108446848e-07,0.006838116329163313,0.006838116329163313,1.6297474543344764e-06,1.0,0.006838116329163313,0.006838116329163313
