b,kappa,n,n_out,phi,bulk_mad,out_med,out_q90,eps_hat,pos_frac,q95_pos,q99_pos
0,4,0,0,,,,,,,,
1,4,0,0,,,,,,,,
2,4,0,0,,,,,,,,
3,4,0,0,,,,,,,,
4,4,0,0,,,,,,,,
5,4,0,0,,,,,,,,
6,4,6797352,0,0.005,0.0,,,0.0,,,
7,4,1384896,0,0.005,1.7673960841193546e-07,,,0.0,,,
8,4,1030699,7,0.005,2.120864850712678e-06,0.005212295800447464,0.01415075995028019,6.791507510922199e-06,1.0,0.014150901604443789,0.014151014927774668
9,4,1026103,48,0.005,2.456129416823387e-05,0.005299927666783333,0.01955604720860722,4.6778929600634634e-05,1.0,0.029671957064419986,0.10005976416170598
10,4,1023710,990,0.005,0.00018159891235409304,0.004913727520033717,0.010714079812169075,0.0009670707524591925,1.0,0.01759744994342327,0.06050181280821562
11,4,1019885,12931,0.005,0.0009190474375616759,0.005987995304167271,0.011687797494232655,0.012678880462012874,0.9614105637615034,0.01653218176215887,0.03332092128694072
12,4,1028329,16124,0.014484199897475736,0.0035454741781577466,0.016281203366816044,0.03442388027906418,0.015679806754453098,0.936988340362193,0.04660015534609549,0.10368259996175766
13,4,1023921,12062,0.04041791978769105,0.009114482521265744,0.04656670428812504,0.08952751085162163,0.011780205699463142,0.9379041618305421,0.11776773445308188,0.22194252863526323
14,4,1023921,9122,0.09534948735396465,0.017990222856402397,0.10057507827877998,0.1857062190771103,0.008908890431976686,0.9135058101293576,0.2266474127769458,0.4042796090245229
15,4,1023923,7635,0.17595495367984826,0.030007991740107536,0.17881986498832703,0.2996319115161897,0.007456615390024445,0.8730844793713163,0.37454645037651063,0.6245776081085205
16,4,1023921,5803,0.28663943595393293,0.04895309497117996,0.2714691758155823,0.43906840682029724,0.0056674294208244585,0.8500775460968465,0.5126848101615906,0.8174777936935379
17,4,1023921,5747,0.4444375951999595,0.07376018986701965,0.39813870191574097,0.5916660904884343,0.005612737701443764,0.6826170175743866,0.6637251496315002,1.008249282836914
18,4,1023921,6077,0.6470334391996516,0.11036483598947525,0.5645424127578735,0.8036152362823487,0.005935028190651427,0.5135757775218035,0.8136257886886596,1.152862606048584
19,4,1023922,9077,0.8824302035302434,0.17528477153778074,0.8126535415649414,1.242077922821045,0.008864933071073774,0.2997686460284235,0.9312915802001952,1.2334697818756104
0,5,0,0,,,,,,,,
1,5,0,0,,,,,,,,
2,5,0,0,,,,,,,,
3,5,0,0,,,,,,,,
4,5,0,0,,,,,,,,
5,5,0,0,,,,,,,,
6,5,6797352,0,0.005,0.0,,,0.0,,,
7,5,1384896,0,0.005,1.7673960841193546e-07,,,0.0,,,
8,5,1030699,7,0.005,2.120864850712678e-06,0.005212295800447464,0.01415075995028019,6.791507510922199e-06,1.0,0.014150901604443789,0.014151014927774668
9,5,1026103,38,0.005,2.456129416823387e-05,0.006547447061166167,0.024966925382614163,3.703331926716909e-05,1.0,0.040249572042375704,0.10008133880794048
10,5,1023710,571,0.005,0.00018159891235409304,0.006685907021164894,0.016979889944195747,0.0005577751511658575,1.0,0.024137492291629314,0.1255254492163658
11,5,1019885,8814,0.005,0.0009190474375616759,0.007448100484907627,0.014164468646049498,0.008642150830730916,0.9965963240299524,0.019330493547022348,0.041872154846787454
12,5,1028329,12879,0.014484199897475736,0.0035454741781577466,0.01966756023466587,0.038722168654203415,0.01252420188480535,0.9923907135647178,0.05430846661329238,0.10879956901073454
