b,phi,n_out,pos_frac,q95_pos,q99_pos,out_med
0,0.005,0,,,,
1,0.005,0,,,,
2,0.005,0,,,,
3,0.005,0,,,,
4,0.005,0,,,,
5,0.005,0,,,,
6,0.005,0,,,,
7,0.005,1,1.0,0.0009893864626064897,0.0009893864626064897,0.0009893864626064897
8,0.005,1454,0.9325997248968363,0.0013859465136192718,0.0016762697277590633,0.000993441790342331
9,0.006371294682594564,15813,0.5604882059065326,0.0025093365460634232,0.002897661440074438,0.0014949599280953407
10,0.01634152399502442,14997,0.5513769420550777,0.006314347125589847,0.007211336269974708,0.003794535994529724
11,0.03774931445530094,13259,0.560374085526812,0.01348517909646034,0.0152725537866354,0.008568823337554932
12,0.07711073086309311,11960,0.5574414715719064,0.026740455254912376,0.030483702085912227,0.0176108218729496
13,0.14180825591506796,10796,0.5476102260096332,0.04682697355747223,0.058163196593522884,0.032862067222595215
14,0.23447633525179434,9474,0.534621068186616,0.07360950112342834,0.08432642877101948,0.05266381800174713
15,0.35612943827341553,9101,0.51510822986485,0.10647046566009521,0.1258498728275299,0.08027473092079163
16,0.5040591110534425,8454,0.5065057960728649,0.14571757316589343,0.1561408466100691,0.11320644617080688
17,0.6677655966592375,8117,0.47973389183195764,0.18243913650512694,0.19305608272552496,0.1489936113357544
18,0.829078888216783,8018,0.4468695435270641,0.21665642857551576,0.2311869156360625,0.18610483407974243
19,0.9629820866960989,8149,0.4227512578230458,0.24406685829162597,0.26278627395629867,0.21684050559997559
