b,phi,n_out,pos_frac,q95_pos,q99_pos,out_med
0,0.005,172,1.0,1.136955851316452,2.0474801540374745,0.08523833751678467
1,0.005,517,1.0,0.6972957611083984,2.010991754531857,0.0788702517747879
2,0.005,1179,1.0,0.7585002779960632,1.5502450513839774,0.07334110140800476
3,0.005,2524,1.0,0.6639340549707409,1.5431905484199517,0.07065749540925026
4,0.005,5488,1.0,0.5794123172760007,1.5010228145122528,0.06540126353502274
5,0.005,10899,1.0,0.5750084340572358,1.4991769480705261,0.0663391500711441
6,0.005,19538,1.0,0.5338480800390235,1.3085607516765596,0.07104458287358284
7,0.00997693386845222,20262,1.0,0.7690198838710786,1.691954804658889,0.1284007951617241
8,0.020731940822104833,17797,1.0,1.0719779968261733,2.1036875629425054,0.24106912314891815
9,0.04073043898629802,14562,1.0,1.4545127332210537,2.5307368206977827,0.4358227849006653
10,0.07623697181909694,10844,1.0,1.8523349523544312,2.9039682149887054,0.7101500332355499
11,0.13228418287662203,6719,1.0,2.444195961952208,3.6104045915603638,1.1209025382995605
12,0.2168889905427388,3485,1.0,3.0695687770843487,4.184191493988031,1.6850119829177856
13,0.3279257553800204,1476,1.0,3.8216298818588257,4.702784895896912,2.3908119201660156
14,0.4640680388068512,500,1.0,4.7262099981307975,6.058896055221556,3.2174317836761475
15,0.6116106481083436,152,1.0,5.6216757535934425,6.50197681427002,4.184203147888184
16,0.7490338250149582,29,1.0,6.10321569442749,6.333701915740966,4.929739952087402
17,0.8645107021134035,11,1.0,6.425746202468872,6.441929483413697,5.695577144622803
18,0.9468424541018898,6,1.0,6.700708985328674,6.759305310249329,6.224792957305908
19,0.9931662164521808,20613,0.0003881045941881337,-6.186697578430176,-6.113178443908692,7.409021377563477
