b,phi,n_out,pos_frac,q95_pos,q99_pos,out_med
0,0.005,1,1.0,0.006838116329163313,0.006838116329163313,0.006838116329163313
1,0.005,9,1.0,0.09648135006427765,0.09965868532657624,0.014314505271613598
2,0.005,18,1.0,0.058291306346654706,0.14894784495234467,0.008680454920977354
3,0.005,34,1.0,0.1231971580535172,0.1960865481197835,0.006661416497081518
4,0.005,130,1.0,0.03354320423677561,0.07887928873300531,0.00651768920943141
5,0.005,547,1.0,0.02569212354719638,0.08396524459123575,0.005915602203458548
6,0.005,3036,1.0,0.021377273835241795,0.07164986282587052,0.00554448994807899
7,0.005,15184,0.9599578503688093,0.019728448707610362,0.051658029109239584,0.005905297119170427
8,0.010717919892672068,19537,0.9322311511491017,0.04085332304239273,0.09875160574913024,0.012167689390480518
9,0.024038976773665732,18214,0.9313714724936861,0.08738900870084751,0.1939686892926688,0.027108644135296345
10,0.04988339656594187,16466,0.9231142961253492,0.16308416053652763,0.3267139062285435,0.0549997016787529
11,0.0952081483968012,14412,0.9062586733277824,0.27043711990118,0.4870119044184685,0.09964748844504356
12,0.16374851562842424,12074,0.8836342554248799,0.41522097587585455,0.6979623305797578,0.1667037382721901
13,0.256934589071694,9447,0.8135916163861543,0.5740082800388336,0.9569043421745256,0.2553994953632355
14,0.3775499083224906,8082,0.7061370947785202,0.7241020500659943,1.1145554494857788,0.3709779679775238
15,0.5107808450474698,6946,0.5770227469046934,0.8703376054763794,1.301744168996811,0.4872414171695709
16,0.6539779689555867,7069,0.4340076389871269,0.9345468521118159,1.33743978023529,0.6150838136672974
17,0.7904083271575256,7389,0.30694275274056027,0.9813542842864984,1.411052575111389,0.7543003559112549
18,0.9056980808868434,7885,0.19720989220038046,0.9981882572174071,1.4490335464477535,0.8954336643218994
19,0.9845028366852524,8068,0.15356965790778385,1.00267276763916,1.37185170173645,0.9993991851806641
