b,phi,n_out,pos_frac,q95_pos,q99_pos,out_med
0,,0,,,,
1,,0,,,,
2,,0,,,,
3,,0,,,,
4,,0,,,,
5,,0,,,,
6,0.005,0,,,,
7,0.005,0,,,,
8,0.005,7,1.0,0.014150901604443789,0.014151014927774668,0.005212295800447464
9,0.005,38,1.0,0.040249572042375704,0.10008133880794048,0.006547447061166167
10,0.005,571,1.0,0.024137492291629314,0.1255254492163658,0.006685907021164894
11,0.005,8814,0.9965963240299524,0.019330493547022348,0.041872154846787454,0.007448100484907627
12,0.014484199897475736,12879,0.9923907135647178,0.05430846661329238,0.10879956901073454,0.01966756023466587
13,0.04041791978769105,9477,0.9926136963174,0.13247079849243146,0.2512941360473633,0.05161925405263901
14,0.09534948735396465,6786,0.9882110226937814,0.25994230806827545,0.4757039248943329,0.10387853160500526
15,0.17595495367984826,5348,0.9734480179506357,0.440872064232826,0.7221479415893555,0.1874309703707695
16,0.28663943595393293,3667,0.9462776111262613,0.5872060060501099,0.9257461047172547,0.3062761723995209
17,0.4444375951999595,2188,0.7938756855575868,0.8391845166683197,1.2171994185447694,0.4999992996454239
18,0.6470334391996516,1992,0.47540160642570284,1.0380733191967007,1.4439745938777906,0.7365126609802246
19,0.8824302035302434,4304,0.18726765799256506,1.0687086880207062,1.4230387210845947,0.9890948534011841
