b,phi,n,q0.001,q0.01,q0.1,q0.5,q0.9,q0.99,q0.999
0,0.005,426424,0.0,0.0,0.0,0.0,0.0,0.0006739969845536041,0.0006739969845536041
1,0.005,794455,-0.0020219902707138073,-0.0013479935673736758,-0.0006739968640335443,0.0,0.0006739963819533055,0.001347992763906611,0.0020219891458599162
2,0.005,625944,-0.005391969843355337,-0.004043970578436011,-0.0020219859319916575,0.0,0.0013479914783593072,0.0033699786958982683,0.006065952653785758
3,0.005,627116,-0.016849719930605352,-0.01145782086562791,-0.005391953057964193,-0.0006739867403485283,0.004717948319953414,0.011457890285182307,0.02089359409299359
4,0.005,622868,-0.051221843151748755,-0.03235109953673508,-0.0168495245274152,-0.0006739764559700992,0.01617555835582353,0.0363943172472482,0.06470075247280033
5,0.005,619782,-0.15634915398293803,-0.09637499253376029,-0.05122011264052801,-0.0006739558872132411,0.053915483676730096,0.1125481727299159,0.19880106651009793
6,0.005,619298,-0.48309000027392446,-0.29177167226300305,-0.158339277594156,-0.0006739147496995249,0.17317428779050828,0.3456494122708985,0.6169164067581319
7,0.005,619651,-1.4697986239215144,-0.8852279555564735,-0.48291491901554817,-0.0013466776490149949,0.5347455534971389,1.027844146308171,1.881297058440074
8,0.005,619560,-4.4626535810773555,-2.520470703902072,-1.4539530953832307,-0.001344044848137155,1.6400453852309143,3.008569515698064,5.766307540968008
9,0.006371294682594564,619451,-6.258933414500371,-5.184907066973787,-3.187650524719839,-0.0011286998307325803,3.5725283068460194,6.404766479211032,8.021365267945793
10,0.01634152399502442,619463,-6.267116567896471,-5.24532094583086,-3.2792102475815574,-0.00047141467928026585,3.6896948624201844,6.244277157302186,8.013380947918415
11,0.03774931445530094,619457,-6.283312707047964,-4.820620365905689,-3.279205014844616,-0.000197341735571165,3.681849130262785,5.7402698550966615,7.991440318696408
12,0.07711073086309311,619454,-6.313641204150611,-4.541146105180347,-3.250344596562277,-0.00010509418232094338,3.619960961931308,5.26099692489041,7.950224036714339
13,0.14180825591506796,619457,-6.368319576218766,-4.343244370637109,-3.256806726825811,-5.711654081981137e-05,3.5939255120710563,4.845149283215656,7.881036086392379
14,0.23447633525179434,619456,-6.426757103101377,-4.185814938559115,-3.223179143610964,-4.1330389121095343e-05,3.4750971513155022,4.465112467550837,7.772956232998846
15,0.35612943827341553,619456,-6.523519822080633,-4.186163086902613,-3.2504608291497883,-3.308674266434108e-05,3.431147482247627,4.330101397274867,7.656098844437126
16,0.5040591110534425,619455,-6.6285230052532045,-4.128462973874876,-3.2417432860680897,-2.8937781257430644e-05,3.3227367892475157,4.19520670099485,7.507297511514044
17,0.6677655966592375,619456,-6.772856543672461,-4.1870133120166635,-3.269495635882162,-5.252243605100179e-05,3.215467180680511,4.098183358042851,7.339400450610765
18,0.829078888216783,619456,-6.897615242798409,-4.308556779715493,-3.2963976548008933,-0.00010772348796422008,3.1084058876516405,4.015172898359246,7.185871084950743
19,0.9629820866960989,619456,-7.023442789071017,-4.468523018093102,-3.1982496705410712,-0.00024056533353014787,2.794681699653533,4.002911621183094,7.068611350662179
