b,phi,n,q0.001,q0.01,q0.1,q0.5,q0.9,q0.99,q0.999
0,0.005,488241,-0.0012698037603408579,-0.001093984991387636,-0.0005274579463455932,1.953551697095608e-05,0.004434482132872937,0.07263614796118245,1.1122542458062568
1,0.005,492012,-0.007735877969004051,-0.0070912088645364415,-0.004668915206529361,-0.000996304568871488,0.02084223539830353,0.31461572769543805,5.560020193985396
2,0.005,490066,-0.027542743093177426,-0.025667253810287078,-0.018518522955998835,-0.00662234122678184,0.059351925518755115,0.9047172479915141,14.652558419184434
3,0.005,490315,-0.07962668994306135,-0.07404043359522751,-0.055959298060556856,-0.024162664904139073,0.14524516559000147,2.356338514642721,32.98368930042146
4,0.005,490143,-0.2032566868479459,-0.19160798395511705,-0.1476975942513269,-0.06938033542478088,0.33239940510996857,5.826984290164394,63.34242042018122
5,0.005,490200,-0.48433326086342776,-0.455507422146628,-0.35656076987195834,-0.17599864023329956,0.7456429959483554,12.515399376738586,100.27663411357408
6,0.005,490179,-0.821395134859917,-0.8157811220830729,-0.7340578482806933,-0.3969795470398271,1.503243407829141,22.03606404131906,124.50505828806014
7,0.00997693386845222,490159,-0.8243111342330469,-0.8215964324226089,-0.7906864859336691,-0.47231964714258495,1.6485015212065421,20.263427292157203,95.05934741439306
8,0.020731940822104833,490169,-0.8300737955607784,-0.8260752665646973,-0.7919586660856487,-0.45906998962412576,1.5404148815860212,15.422285621867402,54.95787582811065
9,0.04073043898629802,490166,-0.8406133725826439,-0.8349315854564584,-0.7964456871746932,-0.4399625659512386,1.3895422721706863,11.258168376064287,34.70566040371072
10,0.07623697181909694,490164,-0.8608982936978836,-0.8521093603316079,-0.8057797635815448,-0.41964388511775286,1.2803486130175201,8.02425791846933,21.05584475530845
11,0.13228418287662203,490167,-0.8933782927862743,-0.8816860829421512,-0.821725843374873,-0.3972698956470836,1.1127370257680087,5.845056130147558,14.09176778589008
12,0.2168889905427388,490164,-0.9511588837132094,-0.9286026335162335,-0.8527824467757975,-0.383398578401172,0.9620919882991048,4.345810504201536,9.274419895275647
13,0.3279257553800204,490166,-1.03151912376313,-1.0089271915839542,-0.905618867599409,-0.38159237104015337,0.8093771749089275,3.2917595887526674,6.673118895553074
14,0.4640680388068512,490164,-1.1629967579844849,-1.1273770187262995,-0.9863850573539479,-0.3888578341419109,0.7111191332051757,2.598957555031073,5.018885729455917
15,0.6116106481083436,490165,-1.3698974578786567,-1.3086657825163786,-1.116367353083253,-0.42013183485669386,0.6247075250803624,2.1763765930596963,3.9889503447700845
16,0.7490338250149582,490165,-1.6524735584427948,-1.5771556297300258,-1.3058447734180985,-0.4614563723305954,0.5551936008677729,1.859364508212543,3.348230235635631
17,0.8645107021134035,490165,-2.1302127515884424,-2.015501416409044,-1.6185794699917566,-0.5307887418807586,0.5201015656563546,1.7236470674648925,3.0017419663184435
18,0.9468424541018898,490165,-3.030872788159264,-2.813202684921185,-2.1516741916855096,-0.6503086605038062,0.4997225341367204,1.6519302330062315,2.829340966626821
19,0.9931662164521808,490166,-11.518984991966805,-7.270277407795802,-3.7724472450965663,-1.040595089453797,0.4685523471963964,1.6508942699496452,2.769921860217867
