b,phi,n,q0.001,q0.01,q0.1,q0.5,q0.9,q0.99,q0.999
0,0.005,613592,-0.002456527831786789,-0.0015353293721448598,-0.0006141311526328709,0.0,0.0007676646728945673,0.003377719875273833,0.013050222687821685
1,0.005,613665,-0.013050179090766698,-0.008290704085547907,-0.003531209176485426,0.0,0.004759494323379698,0.018884243762586763,0.07737716400293658
2,0.005,616256,-0.04375572228703216,-0.028249441247228297,-0.012589106167446337,-0.00015352854195804227,0.01688784677399324,0.06570808828962865,0.24619327491225154
3,0.005,615006,-0.12880602198650978,-0.0830547627040551,-0.03699702850637044,-0.00046057625494960166,0.04881605083818776,0.1891178795531669,0.6650431709839183
4,0.005,614641,-0.34448871566073513,-0.22625856620669307,-0.10099049109140229,-0.0013815741445941398,0.13243983856962974,0.5137847617306811,1.8057444822093114
5,0.005,614714,-0.9144009844306844,-0.5945894852411379,-0.26447131473867164,-0.002915482038269363,0.34437194794376147,1.3435008129288761,4.6475756747012476
6,0.005,614683,-2.295746251615069,-1.5101651315538789,-0.6790019577185544,-0.005821668119409763,0.8796548325037357,3.4817564639104894,11.748832553799287
7,0.005,614676,-4.996330464856788,-3.3916558352875583,-1.5142976223072973,-0.008570722538112193,1.950413252838445,7.851714139449929,25.928231377355957
8,0.010717919892672068,614660,-5.437278517580514,-3.797166227509212,-1.8152958662935987,-0.006520889842149125,2.2861412863628336,8.864893465345073,29.69039336396146
9,0.024038976773665732,614664,-5.384287221026535,-3.7727782372835685,-1.7081044988412002,-0.0031943571469552007,2.1311936455597817,8.58531402109771,27.52348123684415
10,0.04988339656594187,614656,-5.4284857656232255,-3.7926578375051774,-1.615741076893209,-0.0023961063162512043,1.92248402091279,8.056212475078267,23.469366845923552
11,0.0952081483968012,614656,-5.506957707758278,-3.7825104435030843,-1.5150902687398027,-0.002473719123960703,1.809554789997049,6.885200518432845,19.425253109448057
12,0.16374851562842424,614656,-5.587500648238465,-3.758572888671209,-1.465233180246063,-0.003435411009142354,1.7771584311618018,6.452720042322926,16.034216524717944
13,0.256934589071694,614655,-5.839383148713831,-3.7580052417770538,-1.4684541777338136,-0.006461796201744394,1.689164884276628,5.430490571598766,12.929910192223138
14,0.3775499083224906,614656,-6.2425707932339956,-3.9246838161184585,-1.4873949015586798,-0.01015369949572593,1.5705101847094305,4.881960357292514,11.10042408219771
15,0.5107808450474698,614656,-6.731251650062366,-4.02693656718347,-1.5037772575803343,-0.018647361776825064,1.3997864205755164,4.347536178261908,9.237332389545832
16,0.6539779689555867,614655,-7.60410117019048,-4.295231673909394,-1.526635634920914,-0.0251218526074471,1.2694692062729067,3.8385431587047067,7.931620046960898
17,0.7904083271575256,614656,-8.826567145940219,-4.6672719417794095,-1.5515862209981806,-0.03588964386706896,1.1664276449839304,3.417323039589923,7.064149720831306
18,0.9056980808868434,614656,-10.717868278902639,-5.0762556414243045,-1.5778536357061101,-0.04583971967335672,1.1190928817088766,3.2729669075210177,6.495731842236374
19,0.9845028366852524,614656,-13.210033750704273,-5.354275993889546,-1.6134935634984373,-0.06320499913063155,1.1708326981714507,3.219100951395976,5.979508553213669
