b,phi,n,q0.001,q0.01,q0.1,q0.5,q0.9,q0.99,q0.999
0,,0,,,,,,,
1,,0,,,,,,,
2,,0,,,,,,,
3,,0,,,,,,,
4,,0,,,,,,,
5,,0,,,,,,,
6,0.005,6797352,0.0,0.0,0.0,0.0,0.0,0.0,0.00012918927884026074
7,0.005,1384896,-0.0012918913869513684,-0.0007751346104027129,-0.0002583783266720755,0.0,0.0003875671203945997,0.001550268111964885,0.004909173175819882
8,0.005,1030699,-0.01808626159175515,-0.011497624734000112,-0.004004796916962202,0.0,0.005684172877290136,0.02273666391135153,0.06880348143415245
9,0.005,1026103,-0.17902435345691148,-0.11146695134244378,-0.04094984585549183,0.0,0.06264210616759076,0.2147682153277724,0.6356047924667172
10,0.005,1023710,-1.116568027327097,-0.6787765119051669,-0.2844346391684904,0.0,0.4058297556412217,1.353672847559757,3.831285176211362
11,0.005,1019885,-3.656147157112854,-2.32976754847333,-1.1975158532902832,0.0,1.5375391616925318,4.833264758790999,13.186447162879816
12,0.014484199897475736,1028329,-3.956063303421382,-2.8623462108189233,-1.2016344516173956,0.0,1.537114501094566,5.906788637383167,13.312283397088997
13,0.04041791978769105,1023921,-3.918561430096389,-2.6688446326535176,-1.2053037041530812,0.0,1.5309823441610568,4.554212937604648,12.542449682801635
14,0.09534948735396465,1023921,-3.9238105599925053,-2.3388898773103968,-1.2115690567818445,0.0,1.5185607949192972,3.4518126995623963,8.76244627668095
15,0.17595495367984826,1023923,-3.906250502911109,-2.233372784715429,-1.2234435611213978,0.0,1.5004622437470188,3.356418617606896,8.102919883636558
16,0.28663943595393293,1023921,-3.828009594080929,-2.281688893696675,-1.2375324227690265,-1.7925412408120273e-06,1.4728768400905936,3.2354197911332667,7.09775648228671
17,0.4444375951999595,1023921,-4.3962314665996844,-2.383346913637087,-1.2610476534189,-5.1327835399070324e-06,1.4391041175624648,3.092885896207476,5.810376880519636
18,0.6470334391996516,1023921,-5.041381846777529,-2.641547944240438,-1.298761131729158,-6.951213487048275e-05,1.3992393021969347,2.9124874327955115,4.761631282178093
19,0.8824302035302434,1023922,-6.9387825541508095,-3.7146850657934145,-1.3503853413176579,-0.0014231679957920186,1.3604523565544981,2.7658879488182557,4.458940186471247
