phi,n,bulk,n_out,out,out_pos,src
,0,,0,,,paired fresh (lag 0)
,0,,0,,,paired fresh (lag 0)
,0,,0,,,paired fresh (lag 0)
,0,,0,,,paired fresh (lag 0)
,0,,0,,,paired fresh (lag 0)
0.005,187426,0.0,1,0.19113510847092385,1.0,paired fresh (lag 0)
0.005,34650,1.7673960841193546e-07,0,,,paired fresh (lag 0)
0.005,32493,3.534791325478181e-07,0,,,paired fresh (lag 0)
0.005,32692,1.2371738035653834e-06,2,0.08770253324178157,1.0,paired fresh (lag 0)
0.005,31972,3.888232786630396e-06,5,0.05487388751953404,1.0,paired fresh (lag 0)
0.005,32016,1.5375058783683925e-05,9,0.029675555422727484,1.0,paired fresh (lag 0)
0.005,31937,8.376182055508251e-05,19,0.034426687983796,1.0,paired fresh (lag 0)
0.005,31931,0.0006271656106546288,274,0.020865681930445135,1.0,paired fresh (lag 0)
0.014287101229151444,31933,0.006476225612685084,906,0.07406375650316477,1.0,paired fresh (lag 0)
0.18242556912715124,31932,0.07781293043643235,694,0.6460537314414978,1.0,paired fresh (lag 0)
0.9241594783934072,31933,0.44842412502765655,326,3.0618778467178345,0.5122699386503068,paired fresh (lag 0)
,0,,0,,,paired stale (lag 29)
,0,,0,,,paired stale (lag 29)
,0,,0,,,paired stale (lag 29)
,0,,0,,,paired stale (lag 29)
,0,,0,,,paired stale (lag 29)
0.005,187426,0.0,33,0.043328844010829926,1.0,paired stale (lag 29)
0.005,34650,8.836978735075717e-07,65,0.0336705371738617,1.0,paired stale (lag 29)
0.005,32493,2.474351062448932e-06,116,0.04867948778013442,1.0,paired stale (lag 29)
0.005,32692,6.892793741053537e-06,187,0.04858315736919394,1.0,paired stale (lag 29)
0.005,31972,1.9971124115181737e-05,380,0.0380561985548411,1.0,paired stale (lag 29)
0.005,32016,7.723156992033181e-05,997,0.037966552197758574,1.0,paired stale (lag 29)
0.005,31937,0.0004958265953406226,2976,0.03832301913644187,1.0,paired stale (lag 29)
0.005,31931,0.003952504568535369,7644,0.04771579088992439,1.0,paired stale (lag 29)
0.014287101229151444,31933,0.029646902882494032,9863,0.1412331536412239,1.0,paired stale (lag 29)
0.18242556912715124,31932,0.2177610694695788,4045,0.7082639448344707,1.0,paired stale (lag 29)
0.9241594783934072,31933,1.708750234168768,12128,4.22385211661458,0.0162434036939314,paired stale (lag 29)
,0,,0,,,champion train early (c=0.61)
0.005,74718,0.0,3,0.05012348294258118,1.0,champion train early (c=0.61)
0.005,45908,1.7673965054996188e-07,4,0.13775478862229207,1.0,champion train early (c=0.61)
0.005,43258,5.302175610950143e-07,5,0.029076153412574968,1.0,champion train early (c=0.61)
0.005,42973,1.4139168672954836e-06,3,0.0487547479647219,1.0,champion train early (c=0.61)
0.005,42644,3.534847116225137e-06,11,0.035603139591330546,1.0,champion train early (c=0.61)
0.005,41522,9.367280572223534e-06,29,0.0212189353787835,1.0,champion train early (c=0.61)
0.005,41725,2.7925596892964676e-05,71,0.035026928890147246,1.0,champion train early (c=0.61)
0.005,41601,9.787187555994024e-05,225,0.03783825620485004,1.0,champion train early (c=0.61)
