step,rate,n,stale
0,0.002982626202371188,80466,0.004125966246613476
1,0.005351140987086503,22612,0.004466654873518485
2,0.0065619064064928335,23164,0.004101191504058021
3,0.006936517692510317,22778,0.0042584950390727894
4,0.008301718366436063,22405,0.0050881499665253295
5,0.011054609772275039,22615,0.004377625469820915
6,0.012440061521758798,22106,0.004387948973129467
7,0.011395533956177468,23869,0.004105743851858058
8,0.013883326658657056,22473,0.004271792818048324
9,0.015300399335935747,22287,0.004352313007582896
10,0.01752257716673406,22257,0.004537898189333693
11,0.019490078313607724,33966,0.0042395336512983575
12,0.02255951282524451,21676,0.004797933198007013
13,0.022179801836196708,11001,0.004817743841468957
14,0.028394004282655247,23350,0.004625267665952891
15,0.029765180700788846,21804,0.0047239038708493854
16,0.03302112829448922,22955,0.004661293835765628
17,0.037967289719626166,22256,0.005167145938173976
18,0.042290095214541856,16174,0.0068010387040929885
19,0.03617777777777778,11250,0.004622222222222222
20,0.0401167676588969,22609,0.004290326860984564
21,0.041061860691670726,20530,0.005601558694593278
22,0.043545568039950064,20025,0.005742821473158552
23,0.04265317187782396,11066,0.004518344478583047
24,0.0364979083070093,23426,0.003799197472893366
25,0.039744302390216785,21588,0.005743931813970725
26,0.03610073733601456,20886,0.005362443742219668
27,0.041557265731100045,11045,0.00488909008601177
28,0.03689133665530204,22878,0.004283591223009004
29,0.04456784849779297,21069,0.006075276472542598
30,0.039433945983259985,11589,0.004228147381137286
31,0.03856447154828237,22793,0.004782169964462774
32,0.040130840208953765,20483,0.005614411951374311
33,0.0440303590541987,20554,0.007054587914761117
34,0.042692939244663386,10962,0.005564677978471082
35,0.04397910870308,20487,0.005857372968223752
36,0.04825339019598447,20869,0.006516843164502372
37,0.04596790172379631,10094,0.006043193976619774
38,0.04608248965138896,20051,0.0059847389157648
39,0.04515751047816486,22189,0.005182748208571815
40,0.0447679423964937,12777,0.005948188150583079
41,0.044546087302376455,10057,0.005965993835139704
42,0.04524240403847986,20998,0.00633393656538718
43,0.04621465491030709,19734,0.006080875646093037
44,0.05194669997917968,9606,0.006350197793046013
45,0.04782770837217975,21452,0.005500652619802349
46,0.056330668338820084,19137,0.007733709567852851
47,0.05055487053020962,10543,0.006544626766574978
48,0.049322124495845276,20579,0.006754458428495068
49,0.05283092162765854,10297,0.006700980868214043
50,0.04912564921141659,20987,0.006003716586458284
51,0.05392305362011512,13204,0.008027870342320508
52,0.04949989793835476,9798,0.006225760359256991
53,0.051781631097560975,20992,0.006145198170731708
54,0.05383977136535448,10847,0.005162717802157279
55,0.056756629456926194,21231,0.006123121850124817
56,0.056852637962401455,19788,0.007984637153830604
57,0.057218052441758455,10259,0.006725801735061897
58,0.05565968968030824,19206,0.006664583984171613
59,0.0537378906963992,10942,0.0053006762931822335
60,0.053094818973309865,21019,0.0061848803463533
61,0.05411752693112779,19587,0.0065349466482871295
62,0.05357860876558102,9948,0.007036590269400885
63,0.051996144676102064,19713,0.006493177091259575
64,0.05516323815372019,9771,0.0066523385528605055
65,0.052357889370379815,19615,0.006525618149375478
66,0.05544380834493785,19389,0.006601681365722833
67,0.06035597096549667,10057,0.006960326140996321
68,0.05615539324653329,18894,0.006774637451042659
69,0.05675588519832312,9303,0.006879501236160378
70,0.052581714827096164,18999,0.007210905837149324
71,0.05571556261793624,10069,0.007349289899692124
72,0.0563666605063759,21644,0.005036037700979486
73,0.053187516671112295,18745,0.008695652173913044
74,0.060546491055632,10174,0.007076862590918026
75,0.05681488781958374,17249,0.008638181923589774
76,0.058462168526671444,9767,0.007678918808231801
77,0.05666968559968948,15458,0.008280502005434079
78,0.05632511713179874,9818,0.008148299042574863
79,0.05703125,17920,0.009486607142857142
80,0.0582494029695774,9631,0.007164365071124494
81,0.06180642316454766,13607,0.00815756595869773
82,0.058413541320942584,9039,0.007522956079212302
83,0.05869698832206515,13016,0.008758451137062077
84,0.057337610264635124,9976,0.007618283881315156
