arch,C,lam,alpha,lambda_prime_B,beta,beta_effect,R2,A_delta,lambda_prime_delta,gamma_delta,delta_closure_error,n_cells
dense,0.5,0.0,-496.34407234041197,-1.1120183196100024,0.23982051967295068,3.7582389937293e-05,4.199365106982711e-06,,,,,0
dense,0.5,0.25,-463.1944998506152,-7.522230535348113,1.4921719837906016,0.00025004041205205544,0.00021971490051142517,,,,,0
dense,0.5,0.5,-430.0492350321335,-13.932481873496481,2.744353174667115,0.0004909910087740235,0.0008592297832502593,,,,,0
dense,0.5,1.0,-378.41007358886037,-23.20055147865977,4.4838169126645475,0.0008816399908619568,0.0028778838808275475,,,,,0
dense,0.5,2.0,-341.56656546302673,-27.946594649461794,5.27527243346048,0.001105594415370582,0.004744114354705342,,,,,0
dense,0.5,4.0,-313.0751773688123,-30.705078128444743,5.691001612849839,0.0012551564357329394,0.006342179826612893,,,,,0
dense,0.5,8.0,-289.33964243729986,-32.39835519512911,5.910463447313711,0.0013641024440786073,0.007732153202455572,,,,,0
dense,0.75,0.0,-206.00199319373405,-0.46161229181355823,0.0995709889850874,3.759608529621688e-05,4.200857389835555e-06,,,,,0
dense,0.75,0.25,-173.35960172276154,-6.78489084554804,1.3287657984804282,0.0005866223083679883,0.0012407739050552813,,,,,0
dense,0.75,0.5,-152.91813201838292,-10.217975892564764,1.9436430254569157,0.0009369137147565489,0.0033549771302714415,,,,,0
dense,0.75,1.0,-138.53520962247035,-11.93877504171987,2.2256398549796224,0.001139343476184399,0.0051655617168924195,,,,,0
dense,0.75,2.0,-127.28571001183951,-12.943931098392172,2.372416592863728,0.0012758702621180479,0.006701407376406898,,,,,0
dense,0.75,4.0,-117.81087776132077,-13.563459904137227,2.4504518640419652,0.0013780320878171034,0.008045873973002049,,,,,0
dense,0.75,8.0,-109.44247408663558,-13.93694668030875,2.4869209966185775,0.0014604853071608442,0.009264341876565552,,,,,0
dense,1.0,0.0,-3.321563857067702,0.5507108209226182,-0.11955715716924223,0.002093467696025867,0.012858510424822889,-1.5558918139187368,0.2506225914761861,-0.04932876265709035,0.8426747473257098,79
dense,1.0,0.25,-0.2276478044102769,0.03523088528284864,-0.03305548864356004,0.0012553495431763596,0.00024802644413801644,0.40871003744701534,-0.07053939260524576,-0.019382604160818204,0.5550464410170561,79
dense,1.0,0.5,-0.22048055281978196,0.03608961059805496,-0.033286915480610836,0.0012620668858904164,0.00025938023920935027,0.4184889464825288,-0.06920091022853272,-0.02143230332832184,0.5529292438670745,79
dense,1.0,1.0,-0.220229040720218,0.036141169950388206,-0.03329039795607823,0.0012620317206109774,0.0002600505512615481,0.41887752609259987,-0.06908625706575536,-0.021684546201519484,0.5518366714284738,79
dense,1.0,2.0,-0.2202153070455316,0.036141557313877144,-0.033273263200351164,0.0012613524125938652,0.0002600429023679185,0.41891111441278645,-0.06907985984304073,-0.02172808854147796,0.5518325761237142,79
dense,1.0,4.0,-0.22020222075413143,0.03614228853550604,-0.03325571462471095,0.0012606504716948766,0.0002600372840136922,0.4189670735246182,-0.06906939905202457,-0.021787205557933304,0.5518217187570867,79
dense,1.0,8.0,-0.22020216046624427,0.03614232947151219,-0.033255640507992054,0.0012606475095227744,0.00026003780397709786,0.4189673451078758,-0.06906919574029996,-0.021787362285105114,0.5518208402256665,79
dense,1.25,0.0,-0.2225643189006039,0.03607826399951988,-0.0331886004390756,0.0012596153358882473,0.0002597383178275514,0.41416617614119733,-0.06956242279761211,-0.020174187773375468,0.5532250217766786,79
dense,1.25,0.25,-0.22027351142858503,0.03613835582790249,-0.03325018175708779,0.001260487579179343,0.00025999991708880454,0.4188467920067637,-0.06911560307544606,-0.021629653378436958,0.5520593567291682,79
dense,1.25,0.5,-0.22021813003161583,0.03614175501454686,-0.03327726006528673,0.0012615111695970305,0.00026004894243525367,0.4189027242194524,-0.06908023648229605,-0.02171680750480227,0.5518268305036422,79
dense,1.25,1.0,-0.22021206376062108,0.036141984162680475,-0.033269105552876335,0.0012611866660387323,0.00026004543969293525,0.41892260629842437,-0.06907672753442376,-0.021739973520453433,0.5518253890408124,79
dense,1.25,2.0,-0.22020205158002168,0.03614236236413211,-0.03325564679855663,0.0012606477436014499,0.0002600382741636542,0.41896745636319466,-0.0690691597218919,-0.021787347348385278,0.5518206301368711,79
dense,1.25,4.0,-0.22020205158002168,0.03614236236413211,-0.03325564679855663,0.0012606477436014499,0.0002600382741636542,0.41896745636319466,-0.0690691597218919,-0.021787347348385278,0.5518206301368711,79
dense,1.25,8.0,-0.22020205158002168,0.03614236236413211,-0.03325564679855663,0.0012606477436014499,0.0002600382741636542,0.41896745636319466,-0.0690691597218919,-0.021787347348385278,0.5518206301368711,79
dense,1.5,0.0,-0.2202891166226651,0.036136347648121014,-0.033229155465597446,0.0012596736576950328,0.00025996302043806985,0.41881908599904283,-0.06909038248679042,-0.021605416805884122,0.5519843682550472,79
dense,1.5,0.25,-0.22020904030653257,0.0361420983710403,-0.03326504131078931,0.0012610243617601998,0.0002600434575629196,0.41893440903509904,-0.06907469778014994,-0.02175297691207257,0.5518243214161429,79
dense,1.5,0.5,-0.22020600717103517,0.036142212945107034,-0.03326096405458408,0.001260861156711223,0.0002600413111125688,0.4189476961921969,-0.06907244862235044,-0.021767111866650056,0.5518229548822091,79
dense,1.5,1.0,-0.22020205158002168,0.03614236236413211,-0.03325564679855663,0.0012606477436014499,0.0002600382741636542,0.41896745636319466,-0.0690691597218919,-0.021787347348385278,0.5518206301368711,79
dense,1.5,2.0,-0.22020205158002168,0.03614236236413211,-0.03325564679855663,0.0012606477436014499,0.0002600382741636542,0.41896745636319466,-0.0690691597218919,-0.021787347348385278,0.5518206301368711,79
dense,1.5,4.0,-0.22020205158002168,0.03614236236413211,-0.03325564679855663,0.0012606477436014499,0.0002600382741636542,0.41896745636319466,-0.0690691597218919,-0.021787347348385278,0.5518206301368711,79
dense,1.5,8.0,-0.22020205158002168,0.03614236236413211,-0.03325564679855663,0.0012606477436014499,0.0002600382741636542,0.41896745636319466,-0.0690691597218919,-0.021787347348385278,0.5518206301368711,79
dense,2.0,0.0,-0.22020205158002168,0.03614236236413211,-0.03325564679855663,0.0012606477436014499,0.0002600382741636542,0.41896745636319466,-0.0690691597218919,-0.021787347348385278,0.5518206301368711,79
dense,2.0,0.25,-0.22020205158002168,0.03614236236413211,-0.03325564679855663,0.0012606477436014499,0.0002600382741636542,0.41896745636319466,-0.0690691597218919,-0.021787347348385278,0.5518206301368711,79
dense,2.0,0.5,-0.22020205158002168,0.03614236236413211,-0.03325564679855663,0.0012606477436014499,0.0002600382741636542,0.41896745636319466,-0.0690691597218919,-0.021787347348385278,0.5518206301368711,79
