arch,C,lam,alpha,lambda_prime_B,beta,beta_effect,R2,A_delta,lambda_prime_delta,gamma_delta,delta_closure_error,n_cells
moe,0.5,0.0,-497.9786798065209,39.222735742799664,-34.12551109961485,0.01879835441172295,0.005757055948478418,,,,,0
moe,0.5,0.25,-456.3693088549663,23.68696854631127,-27.142426687167895,0.016647721660246965,0.0026801425908187237,,,,,0
moe,0.5,0.5,-415.5711057863082,8.297629345039484,-20.199113804788077,0.013748698270690977,0.0005237801031350298,,,,,0
moe,0.5,1.0,-355.5496332458395,-12.302106073254393,-10.716287282870752,0.008342362907765416,0.0012415868235345906,,,,,0
moe,0.5,2.0,-313.84337997041433,-21.4412770155661,-6.0895326963221645,0.0051475521660787485,0.004090934046273587,,,,,0
moe,0.5,4.0,-282.61864511684655,-26.47957353091653,-3.2161426151620973,0.0028986001773561292,0.006991255711677913,,,,,0
moe,0.5,8.0,-256.54317555725123,-29.663414794765522,-1.133377410583186,0.0010824334427821005,0.009795126730574921,,,,,0
moe,0.75,0.0,-208.12537560700594,16.275904307056233,-14.050902631308869,0.018626066214974427,0.005737459258534194,,,,,0
moe,0.75,0.25,-170.39806206184213,1.8206583844278417,-7.483192803364412,0.012566367473249835,0.0002451875200574216,,,,,0
moe,0.75,0.5,-146.73875133789534,-5.840836478099414,-3.9149421317925417,0.007437193254389758,0.001611463029498661,,,,,0
moe,0.75,1.0,-129.10061486462158,-9.405712990835593,-2.1174038676435587,0.004362808596872118,0.004650763325464102,,,,,0
moe,0.75,2.0,-116.19433382786832,-11.255118910705162,-1.0454190865402684,0.002295331858949636,0.007480339254046231,,,,,0
moe,0.75,4.0,-105.55938342760703,-12.415889112240558,-0.2537663019539513,0.0005905347112518789,0.010176977648786112,,,,,0
moe,0.75,8.0,-96.15441414218556,-13.153261635232518,0.3695166888527355,0.0009109722676271367,0.012783986723811869,,,,,0
moe,1.0,0.0,-13.614812614290202,2.8488261379279884,-0.9967371927359191,0.01687231024623802,0.028039095085890198,-1.850762176061588,0.4197988093240107,-0.7917126962462312,0.6363547541268273,72
moe,1.0,0.25,-4.99996642236807,0.3189635990900831,0.10398793164085765,0.003425368629658476,0.001380766950822565,0.12043783640927068,-0.48214155501954226,-0.15796200243814199,0.5227250564640978,79
