p_bin,n,p_mean,sigma_logK,z_q001,z_q01,z_q10,z_q50,z_q90,z_q99,z_q999
0,373502,0.10670490163542314,0.032907958710193634,-6.9629952694272825,-4.415453108060974,-3.252680441826457,-0.00017710812018112909,2.955262942739053,4.038979358522278,7.1055123442610055
1,373502,0.414263738857029,0.018161682450771332,-6.712077742445503,-4.20215599390463,-3.2561164884499463,-4.6372975411670125e-05,3.2596540092358515,4.1379000514682325,7.4188037393520965
2,373502,0.7040458330160472,0.009088838696479798,-6.476563312188046,-4.192752254830863,-3.2343591304153856,-3.78497438965351e-05,3.4512293440659843,4.404026244020138,7.71654119994109
3,373501,0.8898597090679565,0.0034677432328462598,-6.33515516528823,-4.439984871077439,-3.2466786846458238,-8.308020091896336e-05,3.601367046003544,5.1223827581657595,7.919070999805248
4,373502,0.972483300464704,0.0009131856861524283,-6.267532511917391,-5.007638130422015,-3.2721798174716854,-0.00029684487471779016,3.67682805124682,5.89434144447135,7.992168942201678
5,373498,0.9955656607787619,0.00015991818176116793,-6.246023867876618,-5.683156155900244,-3.282189530717169,-0.001863982157869019,3.6923047663865867,6.95905027549318,8.011196789621861
6,373481,0.9994818160178187,2.0847926774877123e-05,-6.471351477463445,-5.9036266714763865,-3.28116529749026,-0.011543268101329435,3.6504541007101152,7.326723088908877,8.06830240934848
7,372339,0.9999459954527166,2.474102195265004e-06,-7.560169475566009,-6.084615089964302,-3.287819520410255,-0.0651518387407541,3.5087488871004133,7.488295114731421,9.555108526758586
8,367854,0.9999946365494206,3.534773627507093e-07,-10.578909935218986,-7.052607408169012,-3.761390333706818,0.0,3.22404377486475,7.693748316660485,11.284164051025959
9,380337,0.9999997066760719,0.0,-10.088827484692526,-6.72588445526949,-3.362942227634745,0.0,0.0,6.268979388972736,10.088818665021337
