p_bin,n,p_mean,sigma_logK,z_q001,z_q01,z_q10,z_q50,z_q90,z_q99,z_q999
0,371637,0.05693330255428263,0.14397604193687438,-11.692330661482814,-5.134007644746969,-1.5886288844665852,-0.05480039569747617,1.1299919408381385,3.2154622335079677,6.198384569853007
1,371637,0.2777059980432308,0.10828840970993041,-8.07020469369262,-4.463785270740439,-1.5273771185567435,-0.029643163602460183,1.2151779862263887,3.6104064503005975,7.500307309804233
2,371637,0.5549006704381695,0.06862342743873596,-6.455842685404969,-3.967258377145262,-1.4866745934406018,-0.012420932063594136,1.4814561073007586,4.649002765854739,10.114730296634065
3,371637,0.7885901502885679,0.03452333740890026,-5.699174224990249,-3.7551677435083737,-1.4644501413272812,-0.005136988669963327,1.7351083781959837,5.964551760028455,14.425179698285532
4,371637,0.9267221706904412,0.012687755919992922,-5.437247791205237,-3.7714199028612208,-1.5545740122059228,-0.0026000006634566745,1.8265581881032609,7.244627829306762,21.738838619334643
5,371637,0.9821343339491022,0.0032346387667581437,-5.3602545086732825,-3.7638611438713245,-1.7529069584120482,-0.0051333856466394805,2.1738493822921674,8.74517557417011,28.72152532541467
6,371636,0.99680908865904,0.0005991179577657022,-5.411443384689279,-3.806764024106409,-1.8832525989770477,-0.013474164471875253,2.4236461281677393,8.939263812418881,30.469038737151017
7,371594,0.9995170113708135,9.200973041297402e-05,-5.400475393542731,-3.8479863221044104,-1.9215331080629665,-0.024560054308323122,2.5223795127383988,9.115966724786047,31.512526879189004
8,371107,0.9999346313455143,1.219424592636642e-05,-5.311665525530247,-3.7606178299362685,-1.9207851151251154,-0.030934786852938656,2.6016106539041957,9.256253920640312,34.37524386496439
9,372211,0.9999948173041531,7.069567481266858e-07,-5.1099828493366,-3.6106583281669766,-1.7506226454981408,0.0,2.509654497965461,9.271801947875382,36.78859341922656
