bin,phi,n,Delta,mu,var,T_med,ess,gauss_pred
1,0.005,954720,-3.9158371999465063,-2.747906780311882,7.050350183154673,704.0,17321.030853760407,-7.827618494420126
2,0.007452910795115009,36175,-4.097999294750531,-2.8981611075085403,7.301949999961445,753.0,560.9782746364418,-8.054763892433627
3,0.009722619859690917,37783,-4.235840506231259,-2.8723532868459105,7.226873685315624,743.0,541.8177222464583,-7.967957241127525
4,0.012635769109636596,39069,-4.28027497927602,-2.895894586622954,7.249661452621792,744.0,552.6196906720008,-7.978597592309733
5,0.01648014997721481,39586,-4.066131365214694,-2.903627881895364,7.345578331598079,744.0,633.8059234513591,-8.114739615501755
6,0.021510055003805484,40738,-4.1359332870731755,-2.89996867547514,7.2900772631126864,747.0,621.6665170303854,-8.03514721919389
7,0.02803821910140669,41952,-4.0977496684672765,-2.9189556649519344,7.283631834417598,741.0,636.5835377686328,-8.006492086674463
8,0.036509707289182236,43418,-4.461117803378593,-2.9130756561542865,7.344079107054394,744.0,523.6599734153883,-8.103043004427303
9,0.04762089618741605,48200,-4.307885320801418,-2.9151574714694615,7.36476406833741,740.0,645.7141025561081,-8.131988631036654
10,0.061942740502009375,49332,-4.272534641400451,-2.912660052892818,7.385781865148085,744.0,678.4960214526035,-8.16601274482931
11,0.08087625604724313,51597,-4.286982751979647,-2.901175198510398,7.302464578114178,747.0,712.3535310038535,-8.05252166866087
12,0.10615418583105407,56525,-4.191057949919177,-2.9272437867940972,7.322772692229061,740.0,808.1775946313995,-8.056915251549494
13,0.13726219552923186,60672,-4.234480429682213,-2.9306396824237577,7.421169228328541,747.0,871.1578975465421,-8.201114160069054
14,0.18039124231356396,66443,-4.125450322216855,-2.932242314552836,7.317143132848128,740.0,1004.6197541536279,-8.043472384719356
15,0.23304726753004384,72210,-4.3146613701044565,-2.9394985086427385,7.2845579270087235,747.0,976.0385658595881,-7.987338381870346
16,0.30322922740922986,83577,-4.41465439052628,-2.956014347805048,7.238749211252665,751.0,1002.9541623754246,-7.902109469073949
17,0.3976290174965755,98840,-4.328893576439583,-2.96554131894318,7.304201458799226,754.0,1240.6956886969613,-7.990760869255659
18,0.5193917079453172,116064,-4.3871173592988715,-2.9832806680658295,7.394142307608076,761.0,1437.8370818834342,-8.107932793346285
19,0.6797565662570191,156012,-4.426326541409962,-3.0014335069830893,7.3502230932830415,768.0,1837.0604771800677,-8.023901132941473
20,0.9216258364851428,324100,-4.492912439566789,-3.0672938130500476,7.418141863060393,793.0,3530.22444624184,-8.059918981540543
