bin,phi,n,Delta,mu,var,T_med,ess,gauss_pred
1,0.005,981180,-3.268632950208854,-2.7497551681945254,6.7650890337614085,721.0,30851.05529830176,-7.397878382447587
2,0.007444455441423359,37213,-3.295637113722313,-2.903794457362897,6.953331743199423,767.0,1110.5337952329646,-7.526203157436237
3,0.009724607344545277,39024,-3.3781226222067136,-2.8782736398696067,6.912924535986685,766.0,1133.0488613667446,-7.491113164110422
4,0.012645298407946481,39897,-3.437389424501445,-2.888049384923308,6.939452297168538,766.0,1080.1894055886764,-7.5211290608295
5,0.01648972002950233,40447,-3.353389111800192,-2.9046594541011466,6.902518221461032,764.0,1189.8139315933306,-7.4491178780904015
6,0.021483974454164168,41890,-3.336563343887969,-2.9078614193464722,6.968494865676715,763.0,1266.7506039030673,-7.5448808791686
7,0.028000997966099894,42571,-3.085055861726306,-2.9140837625598985,6.880427978477096,760.0,1534.8006889252626,-7.406558205155746
8,0.03657776124345835,44063,-3.3199627474318505,-2.9044158084895613,6.9084316723795745,753.0,1299.1361840123677,-7.4582317000798
9,0.04761851732511463,48688,-3.451225596782222,-2.9191245573251114,6.866562654145214,750.0,1274.1211753055054,-7.380719423892709
10,0.061994136723705684,50253,-3.3352189833277075,-2.9009456423215108,6.941497058857403,754.0,1452.9698789317952,-7.511299945964594
11,0.08083718049706878,52421,-3.324680438382898,-2.9124883695922614,6.912617219870357,754.0,1528.538520961687,-7.456437460213274
12,0.10613122965281929,57571,-3.088948290756042,-2.9055951852816437,6.85089892243704,756.0,2074.901805673235,-7.370753198373915
13,0.13721108580194374,62020,-3.350937347744139,-2.9209916625910908,6.807864518825723,755.5,1756.4279308804644,-7.290805115647494
14,0.18056897282123152,67213,-3.381624899518756,-2.908543278398372,6.8267766732611594,760.0,1870.7802106690863,-7.331621731493368
15,0.23282113302587376,73086,-3.2773955970544653,-2.919684539421311,6.882826600529322,761.0,2208.452377214247,-7.4045553613726725
16,0.3032402329775252,84733,-3.060446279367716,-2.934875029178611,6.904992796629836,761.0,3133.0786378908874,-7.422614165766143
17,0.39766651817054816,99852,-3.303756946015124,-2.9493194315367948,6.959915454837786,765.0,2989.9055731147373,-7.490553750719885
18,0.5192992998213881,117544,-3.316844701633554,-2.9711867708008826,6.887234826930234,772.0,3440.234405076407,-7.35966546959447
19,0.6799016975723776,157353,-3.308906202148416,-2.970230208441881,6.937102029687141,776.0,4691.5867531195345,-7.435422836088831
20,0.9213794319452916,326746,-3.4772086419312203,-3.0407513720830295,6.983442158907585,796.0,8173.189287924012,-7.434411866278348
