bin,phi,n,Delta,mu,var,T_med,ess,gauss_pred
1,0.005,4874352,-3.2873625257102694,-2.7568418153306085,6.985405400877783,719.0,149558.2907645085,-7.721266285986067
2,0.007441401716391738,182613,-3.165350568280039,-2.902586062589479,7.225515305670801,762.0,6125.927465362021,-7.9356868959167235
3,0.009722269397910765,192538,-3.1310681449403637,-2.892383895821099,7.163857412428036,756.0,6594.402419565849,-7.853402222820955
4,0.012641463894836669,197238,-3.2687286893292153,-2.903103187929185,7.185497012749619,758.0,5969.606046157439,-7.875142331195244
5,0.01648833692088736,200880,-3.203627663056807,-2.912584739924622,7.216407657385454,760.0,6527.775007934897,-7.912026746153559
6,0.021492249150895093,205725,-3.3104418794655075,-2.9188080517037758,7.195941949037528,758.0,6018.690191486603,-7.875104871852516
7,0.028032418498764478,212427,-3.234470364189015,-2.920651711405373,7.256188215132735,758.0,6662.806790913471,-7.963630611293729
8,0.03654047052585396,220739,-3.2647415904857997,-2.92312234531113,7.2142532437838245,757.0,6672.662765603741,-7.8982575203646075
9,0.04761895016851103,242772,-3.277516652313072,-2.913662625420933,7.221856168502229,753.0,7380.412394445417,-7.9191216273324105
10,0.061970116294519095,250325,-3.2145409832816743,-2.9195188947077284,7.215852001935957,755.0,8001.006814550708,-7.904259108196207
11,0.08084795965281999,261901,-3.208518522358233,-2.9288278233077882,7.217250980802404,754.0,8400.289479538182,-7.897048647895817
12,0.1061260882405366,286461,-3.2238122927143684,-2.918229978865073,7.205829164383814,752.0,9065.782911078586,-7.890513767710647
13,0.1372332245085749,309437,-3.26097885170651,-2.930519266993995,7.248548841490093,755.0,9523.540110234524,-7.942303995241145
14,0.18040845042211462,336751,-3.200085335995337,-2.9338453253664882,7.25022133974994,754.0,10927.162959622448,-7.941486684258421
15,0.23299131162014308,367600,-3.2639122374551834,-2.942250125773635,7.276849724358145,758.0,11301.919103692944,-7.973024460763584
16,0.3032795193619271,422123,-3.2010684472363993,-2.9515698107591275,7.274639726364716,758.0,13766.161102445958,-7.960389778787946
17,0.3975354441229062,501903,-3.28081158700957,-2.950274666574131,7.285927450156597,760.0,15232.344558674924,-7.978616508660764
18,0.5192244979704987,590534,-3.242157593770242,-2.976984219443404,7.336455182044726,768.0,18422.254266268996,-8.027698553623685
19,0.679783536460729,790829,-3.2909765618455276,-2.988877961969654,7.354011208087989,775.0,23750.192473236028,-8.04213885016233
20,0.9214579045502443,1645967,-3.268987091977374,-3.043523001075896,7.465911289013981,800.0,50820.77688643934,-8.155343932445076
