bin,phi,n,Delta,mu,var,T_med,ess,gauss_pred
1,0.005,617348,-6.126480207873755,-2.8270574186763957,7.1953540843284465,721.0,20679.535195080232,-7.965973707816274
2,0.0074538504284756835,23148,-6.175176277125651,-2.985777465371641,7.3108326693303,758.0,792.5399096625823,-7.98047153862381
3,0.009721742782737797,24246,-6.217260672354255,-2.9331154522252363,7.260591981220534,746.0,782.2585754863363,-7.957772519605564
4,0.012639197203223707,24992,-6.213295288109254,-2.9530262246725396,7.248233066075477,751.0,812.3741858661286,-7.919323374440674
5,0.016492257250182885,25209,-6.03827160512499,-2.948647553975257,7.318143885117429,757.0,964.4795970594777,-8.028568273700888
6,0.02150737307431444,26176,-6.240362734955337,-2.9642371155031446,7.32062360710323,753.0,826.7197263479408,-8.016698295151702
7,0.02804548247890637,26927,-6.211504738544374,-2.9908281966060066,7.214537585455857,755.0,846.4705308618886,-7.830978181577779
8,0.036575658071036354,27931,-5.963144313316448,-2.9678676138748212,7.22778138578793,748.0,1084.9067994484863,-7.873804464807074
9,0.047587431913891254,30765,-6.231078383834575,-3.000103655846997,7.407112012359512,748.0,1032.6725058121772,-8.110564362692271
10,0.06192071069088312,31513,-6.185767754952401,-2.9936028711978593,7.342767990480692,746.0,1066.1292916180494,-8.02054911452318
11,0.08101994678624563,33116,-6.158288044786158,-2.9620483554641717,7.210426159775528,740.0,1084.9166675500448,-7.85359088419912
12,0.1061490445508122,36127,-6.137602924160026,-2.996965975784415,7.236965952048385,742.0,1228.7344955255967,-7.858482952288162
13,0.13725009171324876,38845,-6.149298871855521,-2.9847485643609177,7.368879754103187,740.0,1339.80346290836,-8.068571066793861
14,0.1802537232349397,42397,-6.157546738390824,-3.001375043959048,7.398613311842326,743.0,1437.692814163935,-8.096544923804442
15,0.2328052082850866,46012,-6.205760471147222,-2.9978480860290637,7.295240630558322,748.0,1507.1627433538845,-7.945012859808418
16,0.30325393778181564,53213,-6.219994550488767,-3.023386359292179,7.345107145972487,751.0,1729.5830809809258,-7.9942743596665515
17,0.39759797758043774,63636,-6.108318092729572,-3.017720354251654,7.412229098385286,752.0,2320.5672515005863,-8.100623293326274
18,0.518844635648779,75208,-6.186235171365542,-3.0349339053303463,7.4083929926984915,755.0,2561.099172211393,-8.077655583717391
19,0.6798825031752305,100423,-6.161013685968168,-3.0430936683161858,7.376784072925186,767.0,3442.1525977440915,-8.022082441071593
20,0.9212992016340349,209960,-6.225890468269249,-3.100022108778746,7.427005411235089,784.0,6879.5357680094885,-8.040486008073888
